cites,citation
56,"Peters, S. E., C. Zhang, M. Livny, and C. Ré, 2014: A Machine Reading System for Assembling Synthetic Paleontological Databases. PLoS ONE, 9, e113523, https://doi.org/10.1371/journal.pone.0113523."
54,"McNutt, M., K. Lehnert, B. Hanson, B. A. Nosek, A. M. Ellison, and J. L. King, 2016: Liberating field science samples and data. Science, 351, 1024–1026, https://doi.org/10.1126/science.aad7048."
53,"Goble, C., S. Cohen-Boulakia, S. Soiland-Reyes, D. Garijo, Y. Gil, M. R. Crusoe, K. Peters, and D. Schober, 2020: FAIR Computational Workflows. Data Intelligence, 2, 108–121, https://doi.org/10.1162/dint_a_00033."
48,"Saito, M. A., and Coauthors, 2019: Progress and Challenges in Ocean Metaproteomics and Proposed Best Practices for Data Sharing. Journal of Proteome Research, 18, 1461–1476, https://doi.org/10.1021/acs.jproteome.8b00761."
47,"Husson, J. M., and S. E. Peters, 2017: Atmospheric oxygenation driven by unsteady growth of the continental sedimentary reservoir. Earth and Planetary Science Letters, 460, 68–75, https://doi.org/10.1016/j.epsl.2016.12.012."
47,"Aberger, C. R., A. Lamb, S. Tu, A. Nötzli, K. Olukotun, and C. Ré, 2017: EmptyHeaded. ACM Transactions on Database Systems, 42, 1–44, https://doi.org/10.1145/3129246."
46,"Gil, Y., and Coauthors, 2018: Intelligent systems for geosciences. Communications of the ACM, 62, 76–84, https://doi.org/10.1145/3192335."
45,"Peucker-Ehrenbrink, B., and G. J. Fiske, 2019: A continental perspective of the seawater 87Sr/86Sr record: A review. Chemical Geology, 510, 140–165, https://doi.org/10.1016/j.chemgeo.2019.01.017."
42,"Peters, S. E., and J. M. Husson, 2017: Sediment cycling on continental and oceanic crust. Geology, 45, 323–326, https://doi.org/10.1130/g38861.1."
39,"Modrak, R. T., D. Borisov, M. Lefebvre, and J. Tromp, 2018: SeisFlows—Flexible waveform inversion software. Computers &amp; Geosciences, 115, 88–95, https://doi.org/10.1016/j.cageo.2018.02.004."
38,"Schaen, A. J., and Coauthors, 2020: Interpreting and reporting 40Ar/39Ar geochronologic data. GSA Bulletin, 133, 461–487, https://doi.org/10.1130/b35560.1."
36,"Li, Z., C. Yang, K. Liu, F. Hu, and B. Jin, 2016: Automatic Scaling Hadoop in the Cloud for Efficient Process of Big Geospatial Data. ISPRS International Journal of Geo-Information, 5, 173, https://doi.org/10.3390/ijgi5100173."
35,"Kumar, P., 2015: Hydrocomplexity: Addressing water security and emergent environmental risks. Water Resources Research, 51, 5827–5838, https://doi.org/10.1002/2015wr017342."
34,"Theurich, G., and Coauthors, 2016: The Earth System Prediction Suite: Toward a Coordinated U.S. Modeling Capability. Bulletin of the American Meteorological Society, 97, 1229–1247, https://doi.org/10.1175/bams-d-14-00164.1."
33,"Zhu, R., Y. Hu, K. Janowicz, and G. McKenzie, 2016: Spatial signatures for geographic feature types: examining gazetteer ontologies using spatial statistics. Transactions in GIS, 20, 333–355, https://doi.org/10.1111/tgis.12232."
31,"Jiang, P., M. Elag, P. Kumar, S. D. Peckham, L. Marini, and L. Rui, 2017: A service-oriented architecture for coupling web service models using the Basic Model Interface (BMI). Environmental Modelling &amp; Software, 92, 107–118, https://doi.org/10.1016/j.envsoft.2017.01.021."
29,"Yu, S., B. Chen, K. K. Reeves, D. E. Gary, S. Musset, G. D. Fleishman, G. M. Nita, and L. Glesener, 2020: Magnetic Reconnection during the Post-impulsive Phase of a Long-duration Solar Flare: Bidirectional Outflows as a Cause of Microwave and X-Ray Bursts. The Astrophysical Journal, 900, 17, https://doi.org/10.3847/1538-4357/aba8a6."
29,"Bolton, D. C., P. Shokouhi, B. Rouet‐Leduc, C. Hulbert, J. Rivière, C. Marone, and P. A. Johnson, 2019: Characterizing Acoustic Signals and Searching for Precursors during the Laboratory Seismic Cycle Using Unsupervised Machine Learning. Seismological Research Letters, 90, 1088–1098, https://doi.org/10.1785/0220180367."
27,"Zhang, D., P. K. Dera, P. J. Eng, J. E. Stubbs, J. S. Zhang, V. B. Prakapenka, and M. L. Rivers, 2017: High Pressure Single Crystal Diffraction at PX^2. Journal of Visualized Experiments, https://doi.org/10.3791/54660."
26,"Gil, Y., V. Ratnakar, and D. Garijo, 2015: OntoSoft. Proceedings of the 8th International Conference on Knowledge Capture, https://doi.org/10.1145/2815833.2816955."
25,"Moon, T., A. Ahlstrøm, H. Goelzer, W. Lipscomb, and S. Nowicki, 2018: Rising Oceans Guaranteed: Arctic Land Ice Loss and Sea Level Rise. Current Climate Change Reports, 4, 211–222, https://doi.org/10.1007/s40641-018-0107-0."
24,"Njinju, E. A., and Coauthors, 2019: Lithospheric Structure of the Malawi Rift: Implications for Magma‐Poor Rifting Processes. Tectonics, 38, 3835–3853, https://doi.org/10.1029/2019tc005549."
23,"Sun, Z., H. Fang, M. Deng, A. Chen, P. Yue, and L. Di, 2015: Regular Shape Similarity Index: A Novel Index for Accurate Extraction of Regular Objects From Remote Sensing Images. IEEE Transactions on Geoscience and Remote Sensing, 53, 3737–3748, https://doi.org/10.1109/tgrs.2014.2382566."
23,"Choi, I., A. J. Ponsero, M. Bomhoff, K. Youens-Clark, J. H. Hartman, and B. L. Hurwitz, 2018: Libra: scalablek-mer–based tool for massive all-vs-all metagenome comparisons. GigaScience, 8, https://doi.org/10.1093/gigascience/giy165."
23,"McGranaghan, R. M., A. Bhatt, T. Matsuo, A. J. Mannucci, J. L. Semeter, and S. Datta‐Barua, 2017: Ushering in a New Frontier in Geospace Through Data Science. Journal of Geophysical Research: Space Physics, 122, https://doi.org/10.1002/2017ja024835."
23,"Ponsero, A. J., and B. L. Hurwitz, 2019: The Promises and Pitfalls of Machine Learning for Detecting Viruses in Aquatic Metagenomes. Frontiers in Microbiology, 10, https://doi.org/10.3389/fmicb.2019.00806."
22,"Shi, X., and Coauthors, 2018: Long‐Lasting Poloidal ULF Waves Observed by Multiple Satellites and High‐Latitude SuperDARN Radars. Journal of Geophysical Research: Space Physics, 123, 8422–8438, https://doi.org/10.1029/2018ja026003."
21,"Sadykov, V. M., and A. G. Kosovichev, 2017: Relationships between Characteristics of the Line-of-sight Magnetic Field and Solar Flare Forecasts. The Astrophysical Journal, 849, 148, https://doi.org/10.3847/1538-4357/aa9119."
20,"Crawford, O., D. Al-Attar, J. Tromp, J. X. Mitrovica, J. Austermann, and H. C. P. Lau, 2018: Quantifying the sensitivity of post-glacial sea level change to laterally varying viscosity. Geophysical Journal International, 214, 1324–1363, https://doi.org/10.1093/gji/ggy184."
20,"Sermet, Y., and I. Demir, 2019: Towards an information centric flood ontology for information management and communication. Earth Science Informatics, 12, 541–551, https://doi.org/10.1007/s12145-019-00398-9."
20,"Maidment, D. R., 2016: Open Water Data in Space and Time. JAWRA Journal of the American Water Resources Association, 52, 816–824, https://doi.org/10.1111/1752-1688.12436."
20,"Griffin, J. S., and Coauthors, 2017: Microbial diversity in an intensively managed landscape is structured by landscape connectivity. FEMS Microbiology Ecology, 93, https://doi.org/10.1093/femsec/fix120."
19,"Hsu, L., R. L. Martin, B. McElroy, K. Litwin-Miller, and W. Kim, 2015: Data management, sharing, and reuse in experimental geomorphology: Challenges, strategies, and scientific opportunities. Geomorphology, 244, 180–189, https://doi.org/10.1016/j.geomorph.2015.03.039."
19,"Nita, G. M., N. M. Viall, J. A. Klimchuk, M. A. Loukitcheva, D. E. Gary, A. A. Kuznetsov, and G. D. Fleishman, 2018: Dressing the Coronal Magnetic Extrapolations of Active Regions with a Parameterized Thermal Structure. The Astrophysical Journal, 853, 66, https://doi.org/10.3847/1538-4357/aaa4bf."
19,"van den Brink, L., and Coauthors, 2018: Best practices for publishing, retrieving, and using spatial data on the web. Semantic Web, 10, 95–114, https://doi.org/10.3233/sw-180305."
19,"Khider, D., and Coauthors, 2019: PaCTS 1.0: A Crowdsourced Reporting Standard for Paleoclimate Data. Paleoceanography and Paleoclimatology, 34, 1570–1596, https://doi.org/10.1029/2019pa003632."
19,"Essawy, B. T., J. L. Goodall, W. Zell, D. Voce, M. M. Morsy, J. Sadler, Z. Yuan, and T. Malik, 2018: Integrating scientific cyberinfrastructures to improve reproducibility in computational hydrology: Example for HydroShare and GeoTrust. Environmental Modelling &amp; Software, 105, 217–229, https://doi.org/10.1016/j.envsoft.2018.03.025."
18,"Shreedharan, S., D. C. Bolton, J. Rivière, and C. Marone, 2020: Preseismic Fault Creep and Elastic Wave Amplitude Precursors Scale With Lab Earthquake Magnitude for the Continuum of Tectonic Failure Modes. Geophysical Research Letters, 47, https://doi.org/10.1029/2020gl086986."
18,"Garijo, D., Y. Gil, and O. Corcho, 2017: Abstract, link, publish, exploit: An end to end framework for workflow sharing. Future Generation Computer Systems, 75, 271–283, https://doi.org/10.1016/j.future.2017.01.008."
17,"Fuka, D. R., A. S. Collick, P. J. A. Kleinman, D. A. Auerbach, R. D. Harmel, and Z. M. Easton, 2016: Improving the spatial representation of soil properties and hydrology using topographically derived initialization processes in the SWAT model. Hydrological Processes, 30, 4633–4643, https://doi.org/10.1002/hyp.10899."
17,"Youens-Clark, K., M. Bomhoff, A. J. Ponsero, E. M. Wood-Charlson, J. Lynch, I. Choi, J. H. Hartman, and B. L. Hurwitz, 2019: iMicrobe: Tools and data-driven discovery platform for the microbiome sciences. GigaScience, 8, https://doi.org/10.1093/gigascience/giz083."
17,"Tan, X., and Coauthors, 2015: Building an Elastic Parallel OGC Web Processing Service on a Cloud-Based Cluster: A Case Study of Remote Sensing Data Processing Service. Sustainability, 7, 14245–14258, https://doi.org/10.3390/su71014245."
17,"Held, N. A., and Coauthors, 2020: Co-occurrence of Fe and P stress in natural populations of the marine diazotroph &amp;lt;i&amp;gt;Trichodesmium&amp;lt;/i&amp;gt; Biogeosciences, 17, 2537–2551, https://doi.org/10.5194/bg-17-2537-2020."
17,"Balasubramanian, V., and Coauthors, 2018: Harnessing the Power of Many: Extensible Toolkit for Scalable Ensemble Applications. 2018 IEEE International Parallel and Distributed Processing Symposium (IPDPS), https://doi.org/10.1109/ipdps.2018.00063."
17,"Bolton, D. C., S. Shreedharan, J. Rivière, and C. Marone, 2020: Acoustic Energy Release During the Laboratory Seismic Cycle: Insights on Laboratory Earthquake Precursors and Prediction. Journal of Geophysical Research: Solid Earth, 125, https://doi.org/10.1029/2019jb018975."
17,"Regalia, B., G. McKenzie, S. Gao, and K. Janowicz, 2016: Crowdsensing smart ambient environments and services. Transactions in GIS, 20, 382–398, https://doi.org/10.1111/tgis.12233."
16,"Gundersen, O. E., Y. Gil, and D. W. Aha, 2018: On Reproducible AI: Towards Reproducible Research, Open Science, and Digital Scholarship in AI Publications. AI Magazine, 39, 56–68, https://doi.org/10.1609/aimag.v39i3.2816."
16,"Dove, N. C., and Coauthors, 2020: Continental-scale patterns of extracellular enzyme activity in the subsoil: an overlooked reservoir of microbial activity. Environmental Research Letters, 15, 1040a1, https://doi.org/10.1088/1748-9326/abb0b3."
15,"Sun, Z., and Coauthors, 2017: GeoFairy: Towards a one-stop and location based Service for Geospatial Information Retrieval. Computers, Environment and Urban Systems, 62, 156–167, https://doi.org/10.1016/j.compenvurbsys.2016.11.007."
15,"Walker, J. D., and Coauthors, 2019: StraboSpot data system for structural geology. Geosphere, 15, 533–547, https://doi.org/10.1130/ges02039.1."
15,"Kadlec, J., B. StClair, D. P. Ames, and R. A. Gill, 2015: WaterML R package for managing ecological experiment data on a CUAHSI HydroServer. Ecological Informatics, 28, 19–28, https://doi.org/10.1016/j.ecoinf.2015.05.002."
15,"Cash, B. A., and N. J. Burls, 2019: Predictable and Unpredictable Aspects of U.S. West Coast Rainfall and El Niño: Understanding the 2015/16 Event. Journal of Climate, 32, 2843–2868, https://doi.org/10.1175/jcli-d-18-0181.1."
15,"Abernathey, R. P., and Coauthors, 2021: Cloud-Native Repositories for Big Scientific Data. Computing in Science &amp; Engineering, 23, 26–35, https://doi.org/10.1109/mcse.2021.3059437."
14,"Sun, Z., L. Di, and J. Gaigalas, 2019: SUIS: Simplify the use of geospatial web services in environmental modelling. Environmental Modelling &amp; Software, 119, 228–241, https://doi.org/10.1016/j.envsoft.2019.06.005."
13,"Rosenberg, D. E., and Coauthors, 2020: The Next Frontier: Making Research More Reproducible. Journal of Water Resources Planning and Management, 146, https://doi.org/10.1061/(asce)wr.1943-5452.0001215."
13,"Granger, B. E., and F. Perez, 2021: Jupyter: Thinking and Storytelling With Code and Data. Computing in Science &amp; Engineering, 23, 7–14, https://doi.org/10.1109/mcse.2021.3059263."
13,"Gonçalves, B. C., B. Spitzbart, and H. J. Lynch, 2020: SealNet: A fully-automated pack-ice seal detection pipeline for sub-meter satellite imagery. Remote Sensing of Environment, 239, 111617, https://doi.org/10.1016/j.rse.2019.111617."
13,"Sun, Z., and Coauthors, 2017: CyberConnector: a service-oriented system for automatically tailoring multisource Earth observation data to feed Earth science models. Earth Science Informatics, 11, 1–17, https://doi.org/10.1007/s12145-017-0308-4."
13,"Yuan, Z., D. Ton That, S. Kothari, G. Fils, and T. Malik, 2018: Utilizing Provenance in Reusable Research Objects. Informatics, 5, 14, https://doi.org/10.3390/informatics5010014."
12,"Ton That, D. H., G. Fils, Z. Yuan, and T. Malik, 2017: Sciunits: Reusable Research Objects. 2017 IEEE 13th International Conference on e-Science (e-Science), https://doi.org/10.1109/escience.2017.51."
12,"Fleishman, G. D., G. M. Nita, N. Kuroda, S. Jia, K. Tong, R. R. Wen, and Z. Zhizhuo, 2018: Revealing the Evolution of Non-thermal Electrons in Solar Flares Using 3D Modeling. The Astrophysical Journal, 859, 17, https://doi.org/10.3847/1538-4357/aabae9."
12,"Shi, Y., D. J. Knipp, T. Matsuo, L. Kilcommons, and B. Anderson, 2020: Modes of (FACs) Variability and Their Hemispheric Asymmetry Revealed by Inverse and Assimilative Analysis of Iridium Magnetometer Data. Journal of Geophysical Research: Space Physics, 125, https://doi.org/10.1029/2019ja027265."
12,"Krisnadhi, A., and Coauthors, 2015: The GeoLink Modular Oceanography Ontology. Lecture Notes in Computer Science, 301–309, https://doi.org/10.1007/978-3-319-25010-6_19."
11,"Zheng, C. L., V. Ratnakar, Y. Gil, and S. K. McWeeney, 2015: Use of semantic workflows to enhance transparency and reproducibility in clinical omics. Genome Medicine, 7, https://doi.org/10.1186/s13073-015-0202-y."
11,"Straneo, F., and Coauthors, 2019: The Case for a Sustained Greenland Ice Sheet-Ocean Observing System (GrIOOS). Frontiers in Marine Science, 6, https://doi.org/10.3389/fmars.2019.00138."
11,"Sun, Z., and Coauthors, 2022: A review of Earth Artificial Intelligence. Computers &amp; Geosciences, 159, 105034, https://doi.org/10.1016/j.cageo.2022.105034."
10,"David, C. H., Y. Gil, C. J. Duffy, S. D. Peckham, and S. K. Venayagamoorthy, 2016: An introduction to the special issue on Geoscience Papers of the Future. Earth and Space Science, 3, 441–444, https://doi.org/10.1002/2016ea000201."
10,"Sun, Z., L. Di, B. Cash, and J. Gaigalas, 2020: Advanced cyberinfrastructure for intercomparison and validation of climate models. Environmental Modelling &amp; Software, 123, 104559, https://doi.org/10.1016/j.envsoft.2019.104559."
10,"Hogan, A., P. Hitzler, and K. Janowicz, 2016: Linked Dataset description papers at the Semantic Web journal: A critical assessment. Semantic Web, 7, 105–116, https://doi.org/10.3233/sw-160216."
10,"Jiang, Y., and Coauthors, 2018: A Smart Web-Based Geospatial Data Discovery System with Oceanographic Data as an Example. ISPRS International Journal of Geo-Information, 7, 62, https://doi.org/10.3390/ijgi7020062."
10,"Fan, Y., and Coauthors, 2014: DigitalCrust - a 4D data system of material properties for transforming research on crustal fluid flow. Geofluids, 15, 372–379, https://doi.org/10.1111/gfl.12114."
10,"Bolukbasi, B., and Coauthors, 2013: Open Data: Crediting a Culture of Cooperation. Science, 342, 1041–4042, https://doi.org/10.1126/science.342.6162.1041-b."
10,"Liu, H., Y. Xu, J. Wang, J. Jing, C. Liu, J. T. L. Wang, and H. Wang, 2020: Inferring Vector Magnetic Fields from Stokes Profiles of GST/NIRIS Using a Convolutional Neural Network. The Astrophysical Journal, 894, 70, https://doi.org/10.3847/1538-4357/ab8818."
10,"Liu, H., C. Liu, J. T. L. Wang, and H. Wang, 2020: Predicting Coronal Mass Ejections Using SDO/HMI Vector Magnetic Data Products and Recurrent Neural Networks. The Astrophysical Journal, 890, 12, https://doi.org/10.3847/1538-4357/ab6850."
10,"Miller, K. L., W. Kim, and B. McElroy, 2019: Laboratory Investigation on Effects of Flood Intermittency on Fan Delta Dynamics. Journal of Geophysical Research: Earth Surface, 124, 383–399, https://doi.org/10.1029/2017jf004576."
9,"Kerkez, B., and Coauthors, 2016: Cloud Hosted Real‐time Data Services for the Geosciences (CHORDS). Geoscience Data Journal, 3, 4–8, https://doi.org/10.1002/gdj3.36."
9,"Pennington, D., I. Ebert-Uphoff, N. Freed, J. Martin, and S. A. Pierce, 2019: Bridging sustainability science, earth science, and data science through interdisciplinary education. Sustainability Science, 15, 647–661, https://doi.org/10.1007/s11625-019-00735-3."
8,"Saunders, J. K., D. A. Gaylord, N. A. Held, N. Symmonds, C. L. Dupont, A. Shepherd, D. B. Kinkade, and M. A. Saito, 2020: METATRYP v 2.0: Metaproteomic Least Common Ancestor Analysis for Taxonomic Inference Using Specialized Sequence Assemblies—Standalone Software and Web Servers for Marine Microorganisms and Coronaviruses. Journal of Proteome Research, 19, 4718–4729, https://doi.org/10.1021/acs.jproteome.0c00385."
8,"Ponsero, A. J., M. Bomhoff, K. Blumberg, K. Youens-Clark, N. M. Herz, E. M. Wood-Charlson, E. F. Delong, and B. L. Hurwitz, 2020: Planet Microbe: a platform for marine microbiology to discover and analyze interconnected ‘omics and environmental data. Nucleic Acids Research, 49, D792–D802, https://doi.org/10.1093/nar/gkaa637."
8,"Tan, X., and Coauthors, 2017: Parallel Agent-as-a-Service (P-AaaS) Based Geospatial Service in the Cloud. Remote Sensing, 9, 382, https://doi.org/10.3390/rs9040382."
8,"Essawy, B. T., J. L. Goodall, D. Voce, M. M. Morsy, J. M. Sadler, Y. D. Choi, D. G. Tarboton, and T. Malik, 2020: A taxonomy for reproducible and replicable research in environmental modelling. Environmental Modelling &amp; Software, 134, 104753, https://doi.org/10.1016/j.envsoft.2020.104753."
8,"Choi, Y.-D., and Coauthors, 2021: Toward open and reproducible environmental modeling by integrating online data repositories, computational environments, and model Application Programming Interfaces. Environmental Modelling &amp; Software, 135, 104888, https://doi.org/10.1016/j.envsoft.2020.104888."
8,"Rilee, M. L., K.-S. Kuo, T. Clune, A. Oloso, P. G. Brown, and H. Yu, 2016: Addressing the big-earth-data variety challenge with the hierarchical triangular mesh. 2016 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2016.7840700."
8,"Narock, T., and Coauthors, 2014: The OceanLink project. 2014 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2014.7004347."
7,"Sadykov, V. M., A. G. Kosovichev, I. N. Sharykin, and G. S. Kerr, 2019: Statistical Study of Chromospheric Evaporation in Impulsive Phase of Solar Flares. The Astrophysical Journal, 871, 2, https://doi.org/10.3847/1538-4357/aaf6b0."
7,"Sadler, J. M., D. P. Ames, and S. J. Livingston, 2015: Extending HydroShare to enable hydrologic time series data as social media. Journal of Hydroinformatics, 18, 198–209, https://doi.org/10.2166/hydro.2015.331."
7,"Garijo, D., O. Corcho, Y. Gil, B. A. Gutman, I. D. Dinov, P. Thompson, and A. W. Toga, 2014: FragFlow Automated Fragment Detection in Scientific Workflows. 2014 IEEE 10th International Conference on e-Science, https://doi.org/10.1109/escience.2014.32."
7,"Gil, Y., and D. Garijo, 2017: Towards Automating Data Narratives. Proceedings of the 22nd International Conference on Intelligent User Interfaces, https://doi.org/10.1145/3025171.3025193."
7,"Sun, Z., L. Di, A. Burgess, J. A. Tullis, and A. B. Magill, 2020: Geoweaver: Advanced Cyberinfrastructure for Managing Hybrid Geoscientific AI Workflows. ISPRS International Journal of Geo-Information, 9, 119, https://doi.org/10.3390/ijgi9020119."
7,"Reiss, M. A., and Coauthors, 2021: The Observational Uncertainty of Coronal Hole Boundaries in Automated Detection Schemes. The Astrophysical Journal, 913, 28, https://doi.org/10.3847/1538-4357/abf2c8."
7,"Zhang, C., L. Di, Z. Sun, E. G. Yu, L. Hu, L. Lin, J. Tang, and Md. S. Rahman, 2017: Integrating OGC Web Processing Service with cloud computing environment for Earth Observation data. 2017 6th International Conference on Agro-Geoinformatics, https://doi.org/10.1109/agro-geoinformatics.2017.8047065."
7,"Richard, S. M., G. Pearthree, A. K. Aufdenkampe, J. Cutcher-Gershenfeld, M. Daniels, B. Gomez, D. Kinkade, and G. Percivall, 2014: Community-Developed Geoscience Cyberinfrastructure. Eos, Transactions American Geophysical Union, 95, 165–166, https://doi.org/10.1002/2014eo200001."
6,"Kenigsberg, A. R., J. Rivière, C. Marone, and D. M. Saffer, 2020: Evolution of Elastic and Mechanical Properties During Fault Shear: The Roles of Clay Content, Fabric Development, and Porosity. Journal of Geophysical Research: Solid Earth, 125, https://doi.org/10.1029/2019jb018612."
6,"Sadykov, V. M., A. G. Kosovichev, I. N. Kitiashvili, and A. Frolov, 2019: Statistical Properties of Soft X-Ray Emission of Solar Flares. The Astrophysical Journal, 874, 19, https://doi.org/10.3847/1538-4357/ab06c3."
6,"Grimm, E. C., J. Blois, T. Giesecke, R. Graham, A. Smith, and J. Williams, 2018: Constituent databases and data stewards in the Neotoma Paleoecology Database: History, growth, and new directions. Past Global Change Magazine, 26, 64–65, https://doi.org/10.22498/pages.26.2.64."
6,"Mookerjee, M., D. Vieira, M. A. Chan, Y. Gil, C. Goodwin, T. F. Shipley, and B. Tikoff, 2015: We need to talk: Facilitating communication between field-based geoscience and cyberinfrastructure communities. GSA Today, 34–35, https://doi.org/10.1130/gsatg248gw.1."
6,"Janowicz, K., and Coauthors, 2016: Moon Landing or Safari? A Study of Systematic Errors and Their Causes in Geographic Linked Data. Lecture Notes in Computer Science, 275–290, https://doi.org/10.1007/978-3-319-45738-3_18."
6,"Saito, M. A., and Coauthors, 2020: Development of an Ocean Protein Portal for Interactive Discovery and Education. Journal of Proteome Research, 20, 326–336, https://doi.org/10.1021/acs.jproteome.0c00382."
6,"Gaigalas, Di, and Sun, 2019: Advanced Cyberinfrastructure to Enable Search of Big Climate Datasets in THREDDS. ISPRS International Journal of Geo-Information, 8, 494, https://doi.org/10.3390/ijgi8110494."
6,"Valcke, S., A. Craig, R. Dunlap, and G. D. Riley, 2016: Sharing Experiences and Outlook on Coupling Technologies for Earth System Models. Bulletin of the American Meteorological Society, 97, ES53–ES56, https://doi.org/10.1175/bams-d-15-00239.1."
6,"Werthmüller, D., R. Rochlitz, O. Castillo-Reyes, and L. Heagy, 2021: Towards an open-source landscape for 3-D CSEM modelling. Geophysical Journal International, 227, 644–659, https://doi.org/10.1093/gji/ggab238."
6,"Matsuo, T., 2019: Recent Progress on Inverse and Data Assimilation Procedure for High-Latitude Ionospheric Electrodynamics. Ionospheric Multi-Spacecraft Analysis Tools, 219–232, https://doi.org/10.1007/978-3-030-26732-2_10."
6,"Calyam, P., and Coauthors, 2020: Measuring success for a future vision: Defining impact in science gateways/virtual research environments. Concurrency and Computation: Practice and Experience, 33, https://doi.org/10.1002/cpe.6099."
6,"Shi, Y., D. M. Oliveira, D. J. Knipp, E. Zesta, T. Matsuo, and B. Anderson, 2019: Effects of Nearly Frontal and Highly Inclined Interplanetary Shocks on High‐Latitude Field‐Aligned Currents (FACs). Space Weather, 17, 1659–1673, https://doi.org/10.1029/2019sw002367."
6,"Wu, J., L. Yu, and H. Yu, 2015: Texture-based edge bundling: A web-based approach for interactively visualizing large graphs. 2015 IEEE International Conference on Big Data (Big Data), https://doi.org/10.1109/bigdata.2015.7364046."
6,"Gui, Z., and Coauthors, 2016: Developing Subdomain Allocation Algorithms Based on Spatial and Communicational Constraints to Accelerate Dust Storm Simulation. PLOS ONE, 11, e0152250, https://doi.org/10.1371/journal.pone.0152250."
5,"Fredericks, J., and M. Botts, 2018: Promoting the capture of sensor data provenance: a role-based approach to enable data quality assessment, sensor management and interoperability. Open Geospatial Data, Software and Standards, 3, https://doi.org/10.1186/s40965-018-0048-5."
5,"Wyngaard, J., H. Lynch, J. Nabrzyski, A. Pope, and S. Jha, 2017: Hacking at the Divide Between Polar Science and HPC: Using Hackathons as Training Tools. 2017 IEEE International Parallel and Distributed Processing Symposium Workshops (IPDPSW), https://doi.org/10.1109/ipdpsw.2017.177."
